experiment,status,dev_mae,best_before,promoted,elapsed_seconds,metrics_path,args
baseline_1m,ok,252.05881126637928,253.8358288847802,True,184.8,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/baseline_1m.json,--sample-n 1000000 --max-iter 260
no_density_1m,ok,253.60914514106534,252.05881126637928,False,179.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_density_1m.json,--sample-n 1000000 --max-iter 260 --disable-feature-group density
no_recency_1m,ok,252.22551359213597,252.05881126637928,False,177.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_recency_1m.json,--sample-n 1000000 --max-iter 260 --recency-half-life-days 0
squared_error_1m,ok,251.51174500674892,252.05881126637928,True,133.9,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error
no_same_zone_model_1m,ok,252.0658022063559,251.51174500674892,False,139.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_same_zone_model_1m.json,--sample-n 1000000 --max-iter 260 --no-same-zone-model
squared_error_no_recency_1m,ok,251.9292182606053,251.51174500674892,False,151.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_recency_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --recency-half-life-days 0
squared_error_no_density_1m,ok,252.65204788721667,251.51174500674892,False,138.5,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_density_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --disable-feature-group density
squared_error_no_cap_1m,ok,251.170786959104,251.51174500674892,True,131.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --target-cap-quantile 1.0
absolute_error_1m,ok,252.05881126637928,251.170786959104,False,175.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/absolute_error_1m.json,--sample-n 1000000 --max-iter 260 --loss absolute_error
squared_error_no_cap_1m_180,ok,251.56281639267297,251.170786959104,False,122.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_180.json,--sample-n 1000000 --max-iter 180 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_340,ok,250.80486683432588,251.170786959104,True,128.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_2m_260,ok,251.2263349453214,250.80486683432588,False,164.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_2m_260.json,--sample-n 2000000 --max-iter 260 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_420,ok,250.91302739687436,250.80486683432588,False,142.2,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_1m_420.json,--sample-n 1000000 --max-iter 420 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_520,ok,250.75999441954687,250.80486683432588,True,148.5,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_1m_520.json,--sample-n 1000000 --max-iter 520 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_hl45_1m_340,ok,250.5160724837634,250.75999441954687,True,147.1,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl45_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 45
squared_error_no_cap_hl150_1m_340,ok,253.2087475292425,250.5160724837634,False,147.8,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl150_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 150
squared_error_no_cap_no_rate_1m_340,ok,251.3522270179803,250.5160724837634,False,163.4,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_no_rate_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group ratecode_priors
squared_error_no_cap_no_neighbor_1m_340,ok,250.9319303782703,250.5160724837634,False,167.8,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_no_neighbor_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group neighbor
squared_error_no_cap_no_samezone_1m_340,ok,251.51234177096342,250.5160724837634,False,135.6,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_no_samezone_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --no-same-zone-model
squared_error_no_cap_hl30_1m_340,ok,252.88484872216682,250.5160724837634,False,147.9,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl30_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 30
squared_error_no_cap_hl60_1m_340,ok,251.904282281109,250.5160724837634,False,179.3,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl60_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 60
squared_error_no_cap_hl45_1m_420,ok,249.97270075661214,250.5160724837634,True,184.3,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl45_1m_420.json,--sample-n 1000000 --max-iter 420 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 45
squared_error_no_cap_hl45_1m_520,ok,249.67065923536683,249.97270075661214,True,200.6,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl45_1m_520.json,--sample-n 1000000 --max-iter 520 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 45
squared_error_no_cap_hl45_1m_620,ok,249.60513938729542,249.67065923536683,True,191.1,/Users/vasu/Desktop/gobblecube-eta-submission/research_runs/squared_error_no_cap_hl45_1m_620.json,--sample-n 1000000 --max-iter 620 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 45
